WellName   X   Y   Z   MD   MarkerName
03001794 6114626.0002716938 2235412.495130003 1252.8629252916871 189.490005 B_UD
03001794 6114621.5003306465 2235431.7500397288 1094.597944124477 349.144012 Top_Diatomite
03001794 6114620.499898755 2235435.4385816515 1078.3126911153317 365.877014 Bottom_Sandy_1
03001794 6114620.499898755 2235435.8827285562 1076.4752285374118 367.765015 FaultSearch
03001794 6114618.9996514097 2235444.2498314721 1040.6620295967641 404.562988 Top_Sandy_2
03001794 6114618.0000205049 2235448.2018978889 1025.3664952876372 420.403992 Bottom_Sandy_2
03001794 6114617.5002050521 2235454.8689073776 1002.5617143926344 444.238007 Top_Sandy_3
03001794 6114615.9999577077 2235463.8027081024 973.02654596764262 475.105988 Bottom_Sandy_3
03001794 6114615.9999577077 2235470.5578260846 955.30612575100463 494.11499 Top_Sandy_4
03001794 6114615.5001422549 2235481.1500689485 928.13486815124656 523.299988 Bottom_Sandy_4
03001794 6114615.5001422549 2235485.7501332839 916.32042031275626 535.98999 Top_Sandy_5
03001794 6114615.5001422549 2235500.4582442632 879.69872582302935 575.416992 Bottom_Sandy_5
03001794 6114615.5001422549 2235507.9999307944 862.56803177160214 594.132019 Top_Sandy_6
03001794 6114615.9999577077 2235516.1411555731 843.66625688207421 614.781982 Bottom_Sandy_6
03001794 6114616.4997731596 2235523.0000012815 828.403863381213 631.455994 Delta_A
03001795 6114925.5002640048 2235585.7500692052 1443.6000914085566 0 Elev
03001796 6114996.4996898575 2235533.7500384473 1454.8028860818056 0 Elev
03001796 6114996.4996898575 2235531.9998833761 1378.0831164262424 76.7492981 B_UD
03001796 6114997.9999372019 2235524.0000326801 1249.3845421498215 205.794006 Top_Diatomite
03001796 6114998.4997526547 2235521.9999698829 1227.1519658446623 228.126007 Bottom_Sandy_1
03001796 6114999.0003690934 2235520.7500307579 1212.4439549884144 242.899994 Top_Sandy_2
03001796 6114999.9999999991 2235517.999844288 1187.7354298989603 267.800995 Bottom_Sandy_2
03001796 6115000.9996309048 2235514.8143217629 1164.4096074141853 291.371002 Top_Sandy_3
03001796 6115002.4998782491 2235509.999993592 1131.3308755869627 324.825989 Bottom_Sandy_3
03001796 6115003.5003101416 2235506.9053830123 1111.247545777969 345.188995 Top_Sandy_4
03001796 6115004.9997564992 2235501.2500192234 1076.9876595244318 379.925995 Bottom_Sandy_4
03001796 6115005.5003729388 2235499.2980156043 1065.1740126722441 391.903992 Top_Sandy_5
03001796 6115008.0002511889 2235492.5000448548 1022.6452444482036 435.024994 Bottom_Sandy_5
03001796 6115008.5000666417 2235489.256450823 1001.9710871178333 455.987 Top_Sandy_6
03001796 6115010.0003139861 2235485.7501332839 979.52454734662058 478.746002 Bottom_Sandy_6
03001796 6115010.5001294389 2235482.9999468145 963.14758140583979 495.351013 Delta_A
03001797 6115111.499696265 2235386.7498282683 1448.7144890732652 0 Elev
03001797 6115112.9999436103 2235388.2500756127 1355.4737761890481 93.2804031 B_UD
03001797 6115125.9999512993 2235399.7498359578 1212.8614690985892 237.188004 Top_Diatomite
03001797 6115129.2447468108 2235402.3726656055 1191.2657770272001 259.244995 Bottom_Sandy_1
03001797 6115132.29730561 2235404.2501774984 1177.1465912265726 273.796997 Top_Sandy_2
03001797 6115137.4997116439 2235407.7500871471 1152.4380661371185 299.263 Bottom_Sandy_2
03001797 6115142.5002691308 2235411.2499967958 1127.7866113217169 324.670013 Top_Sandy_3
03001797 6115148.4187569199 2235415.2501223907 1099.4343995422203 353.919006 Bottom_Sandy_3
03001797 6115154.0000294754 2235418.9999397658 1074.624850055364 379.634003 Top_Sandy_4
03001797 6115162.5930105289 2235424.2500044852 1038.0023545793347 417.592987 Bottom_Sandy_4
03001797 6115167.0000371654 2235427.0001909551 1019.1000790733676 437.184998 Top_Sandy_5
03001797 6115178.478971866 2235433.5001947996 969.48338305856294 488.479004 Bottom_Sandy_5
03001797 6115185.4996168073 2235438.0001358469 936.99457764312649 522.057007 Top_Sandy_6
03001797 6115190.5001742942 2235440.7499218234 913.36748418532636 546.419006 Bottom_Sandy_6
03001797 6115195.0281498618 2235443.2498000734 890.38588556404807 570.028015 Delta_A
03002955 6114157.5001794202 2236083.7500865064 1400.229887073747 0 Elev
03002955 6114157.0003639674 2236080.7499923101 1120.6992842706795 279.553986 Top_Sandy_3
03002955 6114156.4997475287 2236080.2501768577 1081.7134787091431 318.549011 Bottom_Sandy_3
03002955 6114155.9999320759 2236079.500053185 1056.9044298387262 343.364014 Top_Sandy_4
03002955 6114155.500116623 2236078.7499295129 1012.0120511593154 388.266998 Bottom_Sandy_4
03002955 6114155.500116623 2236078.5000217864 997.83539459148403 402.446991 Top_Sandy_5
03002955 6114155.0003011702 2236077.4999903878 949.39915213997904 450.897003 Bottom_Sandy_5
03002955 6114155.0003011702 2236077.2500826614 941.72079732098905 458.57901 Top_Sandy_6
03002955 6114155.0003011702 2236077.000174935 928.72589591919893 471.579987 Bottom_Sandy_6
03002955 6114154.4996847315 2236076.2500512628 906.55529592919527 493.760986 Delta_A
03002956 6114171.4998180149 2235756.7498314721 1439.4512827315041 0 Elev
03002956 6114171.4998180149 2235757.7498628711 1321.2656536753095 118.189003 PM_Unc
03002956 6114171.4998180149 2235757.7498628711 1267.2031833118026 172.253006 B_UD
03002956 6114171.4998180149 2235759.7499256684 1095.7316401123687 343.735992 Top_Diatomite
03002956 6114171.4998180149 2235760.2501416141 1073.0185721490013 366.450989 Bottom_Sandy_1
03002956 6114171.4998180149 2235760.2501416141 1058.3108616626168 381.160004 Top_Sandy_2
03002956 6114171.4998180149 2235760.5000493405 1038.3085315934627 401.164001 Bottom_Sandy_2
03002956 6114171.4998180149 2235760.749957067 1014.3745602585199 425.100006 Top_Sandy_3
03002956 6114171.4998180149 2235761.2501730127 984.84049318969392 454.638 Bottom_Sandy_3
03002956 6114171.4998180149 2235761.7499884656 962.3949546513594 477.088013 Top_Sandy_4
03002956 6114171.4998180149 2235762.5001121378 929.31552196112193 510.174011 Bottom_Sandy_4
03002956 6114171.4998180149 2235762.7452139463 917.50187510893409 521.98999 Top_Sandy_5
03002956 6114171.4998180149 2235763.5001435364 877.33591635396147 562.164001 Bottom_Sandy_5
03002956 6114171.0000025621 2235763.7500512628 860.20532242582215 579.297974 Top_Sandy_6
03002956 6114171.0000025621 2235764.2498667156 843.66655725193766 595.840027 Bottom_Sandy_6
03002956 6114171.0000025621 2235764.500174935 828.40371319628127 611.106018 Delta_A
03002956 6114170.5001871102 2235771.7499019592 534.55983559916331 905.047974 Bottom_Diatomite
03002957 6114118.5001563523 2235189.750050622 1392.137922952807 0 Elev
03002957 6114123.9997283043 2235184.749893629 1247.7036723940389 144.841003 PM_Unc
03002957 6114136.9997359943 2235175.5830058898 1162.4253640963336 231.669006 B_UD
03002957 6114166.5000615148 2235156.5275417534 998.94335889440811 398.889008 Top_Diatomite
03002957 6114169.4997552177 2235154.5523095317 982.42011283013437 415.790009 Bottom_Sandy_1
03002957 6114172.4073354956 2235153.2499058037 967.7129029601889 430.813995 Top_Sandy_2
03002957 6114175.4999436103 2235152.7500903509 945.35747538088492 453.437012 Bottom_Sandy_2
03002957 6114178.9217570946 2235152.2498744051 922.22739392378185 476.843994 Top_Sandy_3
03002957 6114182.4997629076 2235151.7500589523 895.05573583087266 504.341003 Bottom_Sandy_3
03002957 6114185.9303872408 2235151.5001512258 873.79125159556463 525.859985 Top_Sandy_4
03002957 6114190.0001986437 2235151.5001512258 839.53131528038352 560.465027 Bottom_Sandy_4
03002957 6114190.5753068095 2235152.2498744051 828.89922334766129 571.151001 Top_Sandy_5
03002957 6114193.4997077994 2235154.7501531485 787.55140930335972 612.708008 Bottom_Sandy_5
03002957 6114194.9623087877 2235155.7501845472 770.42121586837163 629.924988 Top_Sandy_6
03002957 6114196.0003870362 2235156.7498154524 753.88195007804802 646.547974 Bottom_Sandy_6
03002957 6114196.5002024891 2235157.4018183029 744.86259400375241 655.606995 Delta_A
03002957 6114197.000017941 2235169.7498231418 473.97948938404789 926.846985 Bottom_Diatomite
03002958 6114113.5003998522 2234672.7498372393 1411.045605116316 0 Elev
