X,Y,Elev
6114742.05090000000,2234061.28491000000,1447.83618164000
6114842.05090000000,2234061.28491000000,1461.92211914000
6114942.05090000000,2234061.28491000000,1476.48376465000
6115042.05090000000,2234061.28491000000,1489.26391602000
6115142.05090000000,2234061.28491000000,1501.68286133000
6115242.05090000000,2234061.28491000000,1522.68591309000
6115342.05090000000,2234061.28491000000,1514.01452637000
6115442.05090000000,2234061.28491000000,1482.17968750000
6115542.05090000000,2234061.28491000000,1444.80371094000
6115642.05090000000,2234061.28491000000,1426.06665039000
6115742.05090000000,2234061.28491000000,1419.55712891000
6115842.05090000000,2234061.28491000000,1418.74731445000
6115942.05090000000,2234061.28491000000,1420.38366699000
6116042.05090000000,2234061.28491000000,1427.50622559000
6116142.05090000000,2234061.28491000000,1439.99340820000
6116242.05090000000,2234061.28491000000,1448.89086914000
6116342.05090000000,2234061.28491000000,1442.89843750000
6116442.05090000000,2234061.28491000000,1423.48168945000
6116542.05090000000,2234061.28491000000,1418.56542969000
6116642.05090000000,2234061.28491000000,1424.69836426000
6116742.05090000000,2234061.28491000000,1438.77246094000
6116842.05090000000,2234061.28491000000,1450.48437500000
6116942.05090000000,2234061.28491000000,1447.80090332000
6117042.05090000000,2234061.28491000000,1439.05798340000
6117142.05090000000,2234061.28491000000,1439.06652832000
6117242.05090000000,2234061.28491000000,1442.04248047000
6117342.05090000000,2234061.28491000000,1443.41638184000
6110242.05090000000,2234161.28491000000,1705.61657715000
6110342.05090000000,2234161.28491000000,1695.98303223000
6110442.05090000000,2234161.28491000000,1704.49560547000
6110542.05090000000,2234161.28491000000,1696.56811523000
6110642.05090000000,2234161.28491000000,1655.50817871000
6110742.05090000000,2234161.28491000000,1650.03430176000
6110842.05090000000,2234161.28491000000,1658.56677246000
6110942.05090000000,2234161.28491000000,1642.79687500000
6111042.05090000000,2234161.28491000000,1628.93127441000
6111142.05090000000,2234161.28491000000,1650.76098633000
6111242.05090000000,2234161.28491000000,1658.94421387000
6111342.05090000000,2234161.28491000000,1663.39282227000
6111442.05090000000,2234161.28491000000,1674.24780273000
6111542.05090000000,2234161.28491000000,1689.37670898000
6111642.05090000000,2234161.28491000000,1703.87414551000
6111742.05090000000,2234161.28491000000,1699.62023926000
6111842.05090000000,2234161.28491000000,1677.85034180000
6111942.05090000000,2234161.28491000000,1645.27429199000
6112042.05090000000,2234161.28491000000,1616.79638672000
6112142.05090000000,2234161.28491000000,1608.91503906000
6112242.05090000000,2234161.28491000000,1598.63513184000
6112342.05090000000,2234161.28491000000,1580.84875488000
6112442.05090000000,2234161.28491000000,1602.43908691000
6112542.05090000000,2234161.28491000000,1608.11157227000
6112642.05090000000,2234161.28491000000,1594.96752930000
6112742.05090000000,2234161.28491000000,1571.43981934000
6112842.05090000000,2234161.28491000000,1554.14440918000
6112942.05090000000,2234161.28491000000,1550.36303711000
6113042.05090000000,2234161.28491000000,1549.77600098000
6113142.05090000000,2234161.28491000000,1544.34240723000
6113242.05090000000,2234161.28491000000,1535.07153320000
6113342.05090000000,2234161.28491000000,1525.02563477000
6113442.05090000000,2234161.28491000000,1509.87866211000
6113542.05090000000,2234161.28491000000,1490.20166016000
6113642.05090000000,2234161.28491000000,1470.75024414000
6113742.05090000000,2234161.28491000000,1449.18005371000
6113842.05090000000,2234161.28491000000,1433.01489258000
6113942.05090000000,2234161.28491000000,1425.24157715000
